Overall Qual,Year Remod/Add,Mas Vnr Area,TotRms AbvGrd,BsmtFin SF 1,MS Zoning,Street,Land Contour,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Paved Drive,Sale Type,Sale Condition,Neighborhood_Grouped,HouseStyle_Simple,TotalSF,TotalBath,Qual_x_Area,Age,YearsSinceRemodel,TotalPorchSF,HasBasement,HasBasement,HasGarage,HasFireplace,BathPerBedroom,QuarterSold,PricePerSF,LotShape_Score,SalePrice
6,1994,0.0,7,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2418.0,2.5,9930,17,16,84,1,1,1,1,0.8333333333333334,2,72.7460711331679,2,175900
6,2007,0.0,6,935.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,2355.0,3.0,7122,18,3,21,1,1,1,0,1.0,1,78.55626326963906,2,185000
6,1998,0.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2254.0,2.5,8790,12,12,75,1,1,1,1,0.8333333333333334,2,80.03549245785271,2,180400
7,1990,0.0,5,637.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,SingleStory,2641.0,2.5,9387,20,20,0,1,1,1,1,1.25,1,64.9375236652783,3,171500
8,1985,0.0,4,368.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,2990.0,2.5,12016,25,25,194,1,1,1,0,2.5,2,70.90301003344482,2,212000
8,2003,603.0,12,1416.0,RL,Pave,HLS,CulDSac,Mod,Norm,Norm,1Fam,Hip,CompShg,CemntBd,Wd Shng,BrkFace,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,Ex,Mod,Y,WD ,Normal,StoneBr,MultiLevel,4929.0,4.5,26232,7,7,246,1,1,1,1,1.125,2,109.14992899168189,1,538000
8,2005,0.0,8,427.0,RL,Pave,Bnk,Inside,Mod,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2311.0,2.0,14016,22,5,12,1,1,1,0,0.5,2,70.96495023799221,2,164000
9,2010,350.0,8,1445.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,New,Partial,StoneBr,SingleStory,3712.0,2.5,16704,0,0,0,1,1,1,1,2.5,2,106.25862068965517,3,394432
4,1951,0.0,4,120.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,1728.0,1.0,3456,59,59,0,1,1,1,0,0.5,2,81.59722222222223,3,141000
6,1988,119.0,7,790.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,Stone,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Min1,Y,WD ,Normal,NWAmes,SingleStory,3615.0,3.0,12438,32,22,0,1,1,1,1,1.0,1,58.09128630705394,3,210000
6,1977,480.0,7,705.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,COD,Normal,NWAmes,SingleStory,3688.0,2.0,11064,33,33,122,1,1,1,1,0.6666666666666666,1,51.51843817787419,2,190000
7,1974,81.0,6,885.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Family,NWAmes,SingleStory,2226.0,3.0,8211,36,36,120,1,1,1,1,1.0,1,76.37017070979336,3,170000
7,2000,0.0,7,533.0,FV,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Somerst,MultiLevel,2488.0,3.5,11718,10,10,96,1,1,1,0,1.1666666666666667,1,86.81672025723472,3,216000
6,1970,180.0,5,578.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2008.0,2.0,6024,40,40,0,1,1,1,1,1.0,1,74.20318725099601,2,149000
5,2008,0.0,6,734.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2156.0,2.5,5390,39,2,0,1,1,1,1,0.8333333333333334,2,69.52690166975881,2,149900
5,1968,0.0,6,775.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2112.0,2.0,5280,42,42,269,1,1,1,1,0.6666666666666666,3,67.23484848484848,3,142000
4,1970,0.0,4,804.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,1764.0,2.0,3528,40,40,0,1,1,1,0,1.0,2,71.42857142857143,3,126000
4,1971,0.0,5,432.0,RL,Pave,Lvl,FR2,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,ConLI,Normal,NAmes,SingleStory,1728.0,1.0,3456,39,39,0,1,1,0,1,0.3333333333333333,2,66.55092592592592,3,115000
7,1999,0.0,5,1051.0,RH,Pave,Lvl,FR2,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NAmes,SingleStory,2742.0,3.0,9359,11,11,68,1,1,1,1,1.5,2,67.10430342815464,2,184000
6,1971,504.0,5,156.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,COD,Normal,BrDale,MultiLevel,1470.0,1.5,5922,39,39,0,1,1,1,0,0.75,1,65.3061224489796,3,96000
5,1971,492.0,6,300.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,BrDale,MultiLevel,1617.0,1.5,5460,39,39,0,1,1,1,0,0.5,1,65.24427952999382,3,105500
6,1971,381.0,6,0.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,Gable,CompShg,HdBoard,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Family,BrDale,MultiLevel,1617.0,1.5,6552,39,39,0,1,1,1,0,0.5,1,54.42176870748299,3,88000
6,1977,0.0,4,360.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NPkVill,SingleStory,2138.0,2.0,6414,33,33,220,1,1,1,1,1.0,3,59.63517305893358,3,127500
6,1975,0.0,6,514.0,RL,Pave,Lvl,FR2,Gtl,Norm,Norm,Twnhs,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NPkVill,MultiLevel,2311.0,2.5,8736,35,35,0,1,1,1,1,0.8333333333333334,2,64.8636953699697,3,149900
7,1975,0.0,4,0.0,RL,Pave,Lvl,FR2,Gtl,Norm,Norm,Twnhs,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NPkVill,SingleStory,1672.0,1.0,5852,35,35,30,1,1,1,0,0.5,2,71.77033492822966,3,120000
6,1978,0.0,7,311.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Y,WD ,Normal,NPkVill,MultiLevel,2311.0,2.5,8736,32,32,0,1,1,1,1,0.8333333333333334,3,63.176114236261355,3,146000
9,2010,162.0,10,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,New,Partial,NridgHt,MultiLevel,3924.0,2.5,21006,1,0,133,1,1,1,1,0.8333333333333334,1,95.861875637105,2,376162
8,2008,200.0,7,1218.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NridgHt,SingleStory,3408.0,3.0,13632,3,2,50,1,1,1,1,1.0,2,89.78873239436619,3,306000
9,2010,450.0,8,1646.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,New,Partial,NridgHt,SingleStory,3870.0,3.5,17460,1,0,95,1,1,1,1,1.1666666666666667,2,102.11679586563308,2,395192
8,2010,256.0,7,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,New,Partial,NridgHt,SingleStory,3088.0,2.0,12352,1,0,35,1,1,1,0,0.6666666666666666,2,94.2166450777202,2,290941
7,2005,226.0,7,1201.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,New,Partial,NridgHt,SingleStory,3082.0,2.0,10787,5,5,70,1,1,1,1,0.6666666666666666,2,71.38221933809214,3,220000
9,2005,615.0,7,110.0,RL,Pave,Lvl,Inside,Gtl,PosN,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NridgHt,SingleStory,3396.0,2.0,15282,5,5,74,1,1,1,1,0.6666666666666666,2,80.97762073027091,3,275000
8,2006,240.0,8,28.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NridgHt,SingleStory,3644.0,2.0,14576,5,4,119,1,1,1,1,0.6666666666666666,1,71.07574094401757,2,259000
7,2004,168.0,7,2.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NridgHt,SingleStory,3052.0,2.0,10745,6,6,0,1,1,1,0,0.6666666666666666,1,70.11795543905636,2,214000
9,2010,760.0,11,2188.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,New,Partial,NridgHt,SingleStory,4694.0,3.5,21276,1,0,67,1,1,1,1,1.75,1,130.3061354921176,2,611657
7,2010,128.0,6,733.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,New,Partial,NridgHt,SingleStory,2716.0,3.0,9506,1,0,35,1,1,1,1,1.5,2,82.47422680412372,2,224000
9,2004,1095.0,10,1373.0,RL,Pave,HLS,Inside,Mod,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NridgHt,SingleStory,5542.0,3.5,24264,7,6,150,1,1,1,1,1.1666666666666667,2,90.22013713460845,3,500000
8,2002,232.0,7,578.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NridgHt,MultiLevel,3921.0,3.5,18000,8,8,130,1,1,1,1,1.1666666666666667,2,81.6118337158888,3,320000
9,2005,412.0,6,456.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NridgHt,SingleStory,3504.0,3.0,15768,5,5,82,1,1,1,1,1.5,1,91.29566210045662,3,319900
8,2006,178.0,6,24.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NridgHt,SingleStory,2740.0,2.0,10960,4,4,49,1,1,1,1,1.0,2,74.81751824817518,2,205000
7,2003,106.0,6,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NridgHt,MultiLevel,2390.0,2.5,11382,7,7,27,1,1,1,0,1.25,2,73.43096234309624,3,175500
6,2005,0.0,6,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,SingleStory,2648.0,2.0,7944,5,5,23,1,1,1,0,0.6666666666666666,1,75.33987915407855,2,199500
7,2006,14.0,6,16.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Blmngtn,SingleStory,2290.0,2.0,8015,4,4,116,1,1,1,0,1.0,1,69.86899563318778,3,160000
8,2005,16.0,6,24.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Blmngtn,SingleStory,2525.0,2.0,10152,6,5,164,1,1,1,1,1.0,2,76.03960396039604,3,192000
7,2004,0.0,7,326.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,SingleStory,1758.0,3.5,9618,6,6,0,1,1,1,1,1.1666666666666667,2,104.94880546075085,2,184500
6,2002,0.0,8,625.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2820.0,3.5,11760,8,8,48,1,1,1,1,0.875,2,76.77304964539007,3,216500
7,2004,0.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2580.0,2.5,12131,6,6,48,1,1,1,1,0.8333333333333334,2,71.73953488372094,2,185088
7,2000,0.0,7,250.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,1814.0,2.5,10010,10,10,0,1,1,1,1,0.8333333333333334,2,99.22822491730982,2,180000
7,2001,180.0,8,0.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2919.0,2.5,14245,9,9,48,1,1,1,1,0.8333333333333334,2,76.2247344981158,2,222500
9,1999,165.0,10,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,MultiLevel,3992.0,2.5,23391,11,11,30,1,1,1,1,0.625,2,83.45891783567134,2,333168
8,1998,114.0,7,0.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,MultiLevel,4104.0,2.5,19800,12,12,428,1,1,1,1,0.625,1,86.5009746588694,1,355000
7,1996,338.0,7,919.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,SingleStory,3440.0,3.0,12040,14,14,210,1,1,1,1,1.0,1,75.69767441860465,2,260400
8,1995,362.0,9,1032.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,MultiLevel,4085.0,3.5,20976,16,15,32,1,1,1,1,1.1666666666666667,2,79.5593635250918,2,325000
8,2007,348.0,9,524.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,MultiLevel,3422.0,2.5,18160,11,3,57,1,1,1,1,0.625,2,84.7457627118644,2,290000
7,1998,30.0,7,0.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,NoRidge,MultiLevel,3034.0,2.5,12873,12,12,81,1,1,1,0,0.625,2,72.84113381674358,1,221000
8,1996,579.0,9,816.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NoRidge,MultiLevel,5271.0,3.5,25904,15,14,86,1,1,1,1,0.875,1,77.78410168848416,2,410000
